Id,acct,Name,role,email_domain
CT0001,P-1159,Mei Hansen,OPS,example.com
CT0002,P-1116,Dev Adler,WAREHOUSE,mail.test
CT0003,P-1125,Boris Petrov,OPS,corp.example
CT0004,P-1118,Stefan Quist,WAREHOUSE,mail.test
CT0005,P-1190,Dev Lindgren,WAREHOUSE,corp.example
CT0006,P-1124,Quinn Marek,OPS,corp.example
CT0007,P-1078,Lars Sorensen,FINANCE,corp.example
CT0008,P-1218,Greta Quist,FINANCE,example.com
CT0009,P-1128,Quinn Adler,WAREHOUSE,example.com
CT0010,P-1123,Stefan Kovacs,OPS,example.com
CT0011,P-1239,Priya Iqbal,FINANCE,mail.test
CT0012,P-1112,Lars Iqbal,BUYER,corp.example
CT0013,P-1144,Femi Lindgren,WAREHOUSE,mail.test
CT0014,P-1029,Quinn Novak,FINANCE,mail.test
CT0015,P-1056,Mei Riva,BUYER,corp.example
CT0016,P-1044,Elena Adler,OPS,mail.test
CT0017,P-1132,Omar Lindgren,OPS,mail.test
CT0018,P-1159,Carmen Iqbal,BUYER,mail.test
CT0019,P-1142,Mei Dvorak,BUYER,mail.test
CT0020,P-1152,Femi Iqbal,FINANCE,mail.test
CT0021,P-1116,Nadia Quist,FINANCE,mail.test
CT0022,P-1235,Lars Dvorak,OPS,corp.example
CT0023,P-1069,Priya Hansen,OPS,mail.test
CT0024,P-1131,Rosa Lindgren,BUYER,corp.example
CT0025,P-1156,Lars Fuentes,WAREHOUSE,example.com
CT0026,P-1055,Stefan Dvorak,OPS,example.com
CT0027,P-1127,Quinn Dvorak,WAREHOUSE,mail.test
CT0028,P-1221,Elena Petrov,OPS,mail.test
CT0029,P-1236,Carmen Iqbal,FINANCE,mail.test
CT0030,P-1038,Dev Jensen,FINANCE,corp.example
CT0031,P-1013,Femi Kovacs,WAREHOUSE,example.com
CT0032,P-1135,Greta Novak,OPS,mail.test
CT0033,P-1089,Jonas Eriksen,FINANCE,corp.example
CT0034,P-1041,Boris Gallo,OPS,mail.test
CT0035,P-1021,Ines Novak,OPS,corp.example
CT0036,P-1135,Carmen Tanaka,BUYER,mail.test
CT0037,P-1109,Aisha Sorensen,FINANCE,mail.test
CT0038,P-1020,Lars Novak,BUYER,example.com
CT0039,P-1123,Lars Dvorak,OPS,corp.example
CT0040,P-1194,Elena Adler,FINANCE,example.com
CT0041,P-1052,Elena Novak,BUYER,mail.test
CT0042,P-1071,Stefan Adler,FINANCE,example.com
CT0043,P-1010,Femi Adler,OPS,example.com
CT0044,P-1083,Stefan Iqbal,OPS,mail.test
CT0045,P-1153,Nadia Riva,OPS,corp.example
CT0046,P-1147,Boris Hansen,OPS,example.com
CT0047,P-1100,Rosa Dvorak,FINANCE,corp.example
CT0048,P-1148,Jonas Hansen,WAREHOUSE,mail.test
CT0049,P-1108,Femi Dvorak,FINANCE,mail.test
CT0050,P-1219,Omar Quist,WAREHOUSE,corp.example
CT0051,P-1122,Mei Hansen,OPS,mail.test
CT0052,P-1125,Greta Iqbal,BUYER,mail.test
CT0053,P-1193,Rosa Sorensen,BUYER,example.com
CT0054,P-1064,Greta Iqbal,FINANCE,mail.test
CT0055,P-1035,Carmen Riva,BUYER,example.com
CT0056,P-1068,Omar Quist,WAREHOUSE,corp.example
CT0057,P-1232,Elena Costa,BUYER,corp.example
CT0058,P-1108,Lars Adler,FINANCE,example.com
CT0059,P-1107,Omar Sorensen,FINANCE,example.com
CT0060,P-1226,Mei Brennan,WAREHOUSE,mail.test
CT0061,P-1233,Nadia Riva,FINANCE,corp.example
CT0062,P-1228,Omar Fuentes,FINANCE,corp.example
CT0063,P-1074,Boris Dvorak,OPS,corp.example
CT0064,P-1070,Nadia Hansen,FINANCE,example.com
CT0065,P-1025,Boris Iqbal,WAREHOUSE,example.com
CT0066,P-1034,Tomas Petrov,FINANCE,example.com
CT0067,P-1107,Quinn Petrov,FINANCE,corp.example
CT0068,P-1123,Dev Fuentes,WAREHOUSE,example.com
CT0069,P-1034,Boris Hansen,FINANCE,mail.test
CT0070,P-1178,Priya Gallo,BUYER,corp.example
CT0071,P-1192,Ines Marek,WAREHOUSE,corp.example
CT0072,P-1197,Stefan Hansen,BUYER,mail.test
CT0073,P-1200,Stefan Kovacs,OPS,corp.example
CT0074,P-1071,Tomas Iqbal,WAREHOUSE,example.com
CT0075,P-1121,Katya Costa,FINANCE,corp.example
CT0076,P-1051,Greta Iqbal,BUYER,example.com
CT0077,P-1110,Elena Riva,WAREHOUSE,example.com
CT0078,P-1188,Quinn Okafor,BUYER,corp.example
CT0079,P-1233,Carmen Quist,WAREHOUSE,corp.example
CT0080,P-1149,Nadia Eriksen,FINANCE,corp.example
CT0081,P-1189,Aisha Adler,FINANCE,mail.test
CT0082,P-1093,Quinn Jensen,WAREHOUSE,corp.example
CT0083,P-1171,Aisha Brennan,BUYER,mail.test
CT0084,P-1111,Boris Costa,BUYER,mail.test
CT0085,P-1202,Katya Novak,WAREHOUSE,corp.example
CT0086,P-1022,Dev Hansen,WAREHOUSE,example.com
CT0087,P-1090,Dev Kovacs,OPS,corp.example
CT0088,P-1034,Omar Jensen,OPS,example.com
CT0089,P-1109,Elena Fuentes,WAREHOUSE,corp.example
CT0090,P-1154,Femi Dvorak,WAREHOUSE,corp.example
CT0091,P-1037,Boris Dvorak,WAREHOUSE,corp.example
CT0092,P-1102,Elena Jensen,BUYER,mail.test
CT0093,P-1199,Ines Iqbal,WAREHOUSE,example.com
CT0094,P-1008,Boris Quist,WAREHOUSE,example.com
CT0095,P-1130,Aisha Fuentes,OPS,corp.example
CT0096,P-1189,Boris Quist,WAREHOUSE,example.com
CT0097,P-1046,Rosa Fuentes,WAREHOUSE,mail.test
CT0098,P-1068,Omar Sorensen,OPS,corp.example
CT0099,P-1113,Priya Dvorak,WAREHOUSE,corp.example
CT0100,P-1019,Rosa Tanaka,BUYER,example.com
CT0101,P-1055,Boris Adler,FINANCE,corp.example
CT0102,P-1202,Ines Jensen,WAREHOUSE,corp.example
CT0103,P-1107,Jonas Gallo,OPS,example.com
CT0104,P-1097,Dev Novak,WAREHOUSE,corp.example
CT0105,P-1167,Hamid Riva,OPS,corp.example
CT0106,P-1232,Femi Tanaka,FINANCE,mail.test
CT0107,P-1027,Hamid Hansen,BUYER,example.com
CT0108,P-1125,Rosa Dvorak,WAREHOUSE,mail.test
CT0109,P-1017,Ines Brennan,OPS,example.com
CT0110,P-1178,Carmen Marek,BUYER,corp.example
CT0111,P-1138,Rosa Iqbal,WAREHOUSE,corp.example
CT0112,P-1117,Jonas Kovacs,BUYER,mail.test
CT0113,P-1007,Aisha Costa,BUYER,example.com
CT0114,P-1210,Mei Costa,BUYER,example.com
CT0115,P-1048,Omar Okafor,WAREHOUSE,mail.test
CT0116,P-1074,Quinn Petrov,FINANCE,mail.test
CT0117,P-1197,Hamid Petrov,BUYER,corp.example
CT0118,P-1049,Quinn Eriksen,OPS,corp.example
CT0119,P-1201,Katya Novak,OPS,example.com
CT0120,P-1028,Boris Okafor,OPS,corp.example
CT0121,P-1005,Quinn Gallo,WAREHOUSE,corp.example
CT0122,P-1089,Dev Dvorak,WAREHOUSE,corp.example
CT0123,P-1022,Boris Quist,BUYER,corp.example
CT0124,P-1036,Priya Gallo,FINANCE,mail.test
