drv_id,Name,depot,licence_class,Status
D3000,Lars Eriksen,L-205,C1,ACTIVE
D3001,Lars Dvorak,L-205,C1,ACTIVE
D3002,Katya Gallo,L-201,C,ACTIVE
D3003,Mei Marek,L-216,B,ACTIVE
D3004,Katya Sorensen,L-231,C1,ACTIVE
D3005,Hamid Brennan,L-241,C,ACTIVE
D3006,Elena Jensen,L-201,CE,ACTIVE
D3007,Nadia Tanaka,L-236,C1,ACTIVE
D3008,Greta Dvorak,L-225,B,ACTIVE
D3009,Stefan Sorensen,L-220,B,ACTIVE
D3010,Quinn Costa,L-201,C1,LEFT
D3011,Femi Kovacs,L-206,C1,ACTIVE
D3012,Hamid Okafor,L-235,C,ACTIVE
D3013,Elena Dvorak,L-216,C,LEFT
D3014,Quinn Okafor,L-256,CE,LEFT
D3015,Boris Petrov,L-251,B,LEFT
D3016,Priya Kovacs,L-236,C,ACTIVE
D3017,Stefan Costa,L-210,B,ACTIVE
D3018,Ines Hansen,L-206,B,ACTIVE
D3019,Femi Adler,L-226,B,BANNED
D3020,Priya Fuentes,L-235,C1,BANNED
D3021,Nadia Marek,L-221,B,ACTIVE
D3022,Nadia Sorensen,L-226,C1,ACTIVE
D3023,Aisha Marek,L-225,C1,ACTIVE
D3024,Tomas Novak,L-255,C,ACTIVE
D3025,Stefan Okafor,L-225,CE,ACTIVE
D3026,Hamid Sorensen,L-221,C,LEFT
D3027,Hamid Fuentes,L-245,C,ACTIVE
D3028,Nadia Lindgren,L-225,C,ACTIVE
D3029,Aisha Okafor,L-215,CE,ACTIVE
D3030,Tomas Riva,L-230,C,ACTIVE
D3031,Elena Dvorak,L-235,CE,ACTIVE
D3032,Boris Kovacs,L-231,CE,ACTIVE
D3033,Priya Tanaka,L-260,CE,ACTIVE
D3034,Boris Marek,L-226,CE,ACTIVE
D3035,Mei Novak,L-241,CE,ACTIVE
D3036,Stefan Fuentes,L-241,C,ACTIVE
D3037,Rosa Fuentes,L-215,B,LEFT
D3038,Quinn Okafor,L-211,B,ACTIVE
D3039,Nadia Sorensen,L-201,CE,ACTIVE
D3040,Femi Kovacs,L-241,CE,ACTIVE
D3041,Priya Tanaka,L-241,C1,ACTIVE
D3042,Rosa Hansen,L-215,C,ACTIVE
D3043,Femi Riva,L-236,B,BANNED
D3044,Dev Riva,L-245,CE,ACTIVE
D3045,Rosa Marek,L-260,C1,ACTIVE
D3046,Lars Lindgren,L-211,C,ACTIVE
D3047,Omar Brennan,L-226,B,ACTIVE
D3048,Hamid Adler,L-220,C1,ACTIVE
D3049,Boris Quist,L-206,C1,ACTIVE
D3050,Quinn Costa,L-215,CE,ACTIVE
D3051,Quinn Novak,L-256,B,ACTIVE
D3052,Priya Adler,L-206,CE,ACTIVE
D3053,Quinn Lindgren,L-201,CE,ACTIVE
D3054,Hamid Lindgren,L-260,C,ACTIVE
D3055,Elena Okafor,L-210,C,ACTIVE
D3056,Katya Gallo,L-220,CE,LEFT
D3057,Omar Fuentes,L-215,C,ACTIVE
D3058,Carmen Eriksen,L-215,B,LEFT
D3059,Katya Costa,L-205,C,ACTIVE
D3060,Quinn Tanaka,L-216,C,ACTIVE
D3061,Stefan Adler,L-256,C1,ACTIVE
D3062,Katya Kovacs,L-260,C,ACTIVE
D3063,Ines Quist,L-211,C1,ACTIVE
D3064,Jonas Iqbal,L-250,B,ACTIVE
D3065,Greta Okafor,L-255,C1,ACTIVE
D3066,Greta Marek,L-250,C,ACTIVE
D3067,Katya Jensen,L-256,CE,ACTIVE
D3068,Hamid Kovacs,L-256,B,BANNED
D3069,Quinn Dvorak,L-236,C,ACTIVE
D3070,Femi Gallo,L-221,C1,LEFT
D3071,Greta Brennan,L-241,C,LEFT
D3072,Aisha Iqbal,L-211,B,LEFT
D3073,Stefan Gallo,L-215,C,ACTIVE
D3074,Mei Iqbal,L-226,B,ACTIVE
D3075,Femi Sorensen,L-221,C1,BANNED
D3076,Stefan Jensen,L-220,B,LEFT
D3077,Katya Lindgren,L-206,CE,ACTIVE
D3078,Carmen Okafor,L-201,B,LEFT
D3079,Tomas Dvorak,L-245,C1,ACTIVE
D3080,Dev Okafor,L-205,CE,ACTIVE
D3081,Greta Gallo,L-236,CE,ACTIVE
D3082,Elena Sorensen,L-230,B,ACTIVE
D3083,Boris Kovacs,L-260,C,ACTIVE
D3084,Lars Hansen,L-250,C,ACTIVE
D3085,Nadia Iqbal,L-210,C1,ACTIVE
D3086,Dev Sorensen,L-260,B,ACTIVE
D3087,Jonas Jensen,L-216,B,ACTIVE
D3088,Omar Riva,L-225,CE,ACTIVE
D3089,Omar Kovacs,L-206,B,ACTIVE
D3090,Boris Costa,L-236,C,ACTIVE
D3091,Stefan Hansen,L-240,CE,ACTIVE
D3092,Stefan Kovacs,L-256,CE,LEFT
D3093,Carmen Sorensen,L-236,C1,ACTIVE
D3094,Mei Marek,L-245,CE,ACTIVE
D3095,Nadia Fuentes,L-231,B,ACTIVE
D3096,Femi Eriksen,L-251,B,ACTIVE
D3097,Jonas Marek,L-245,C1,LEFT
D3098,Lars Fuentes,L-235,B,ACTIVE
D3099,Katya Novak,L-245,CE,ACTIVE
D3100,Boris Sorensen,L-201,C,LEFT
D3101,Ines Gallo,L-235,CE,ACTIVE
D3102,Omar Eriksen,L-215,CE,ACTIVE
D3103,Katya Petrov,L-255,C1,ACTIVE
D3104,Aisha Petrov,L-206,CE,ACTIVE
D3105,Rosa Kovacs,L-211,C,ACTIVE
D3106,Ines Riva,L-241,C1,ACTIVE
D3107,Dev Adler,L-226,C1,LEFT
D3108,Hamid Lindgren,L-250,C,ACTIVE
D3109,Nadia Hansen,L-201,C,ACTIVE
D3110,Rosa Lindgren,L-235,C,ACTIVE
D3111,Hamid Dvorak,L-210,CE,ACTIVE
D3112,Tomas Adler,L-241,CE,ACTIVE
D3113,Greta Eriksen,L-225,C,LEFT
