emp_id,Name,role,depot,START,END
E500,Greta Jensen,SUPERVISOR,L-241,2019-02-03,2026-05-13
E501,Aisha Sorensen,FITTER,L-245,2022-06-05,
E502,Elena Jensen,PLANNER,L-255,2019-06-25,
E503,Ines Brennan,LOADER,L-255,2022-10-13,
E504,Lars Petrov,PLANNER,L-240,2023-06-29,
E505,Hamid Quist,SUPERVISOR,L-246,2023-01-18,
E506,Nadia Riva,PLANNER,L-211,2025-03-02,
E507,Boris Petrov,LOADER,L-235,2021-11-28,
E508,Rosa Jensen,PLANNER,L-225,2022-10-21,
E509,Katya Hansen,CS_AGENT,L-210,2019-05-23,
E510,Elena Dvorak,CS_AGENT,L-206,2018-12-22,
E511,Aisha Jensen,SUPERVISOR,L-201,2019-10-31,
E512,Ines Tanaka,CS_AGENT,L-225,2023-05-28,
E513,Femi Kovacs,FITTER,L-246,2022-06-17,
E514,Boris Jensen,FITTER,L-215,2020-03-29,
E515,Quinn Adler,LOADER,L-260,2022-05-27,
E516,Femi Okafor,FITTER,L-255,2021-02-06,
E517,Priya Costa,LOADER,L-246,2018-08-24,
E518,Elena Gallo,LOADER,L-205,2023-04-01,
E519,Femi Brennan,FITTER,L-221,2019-05-06,2026-05-29
E520,Tomas Jensen,SUPERVISOR,L-225,2020-12-18,
E521,Boris Dvorak,PLANNER,L-216,2024-06-11,2026-01-25
E522,Ines Kovacs,SUPERVISOR,L-205,2024-03-11,
E523,Femi Brennan,LOADER,L-231,2020-04-06,
E524,Hamid Quist,FITTER,L-260,2019-05-26,
E525,Stefan Adler,LOADER,L-226,2019-09-03,
E526,Hamid Brennan,FITTER,L-220,2024-12-11,2026-04-01
E527,Aisha Costa,SUPERVISOR,L-230,2018-08-28,
E528,Lars Gallo,LOADER,L-220,2020-08-26,
E529,Quinn Lindgren,CS_AGENT,L-216,2020-01-15,
E530,Carmen Costa,PLANNER,L-211,2018-04-26,
E531,Mei Sorensen,PLANNER,L-250,2025-07-18,2025-11-27
E532,Hamid Brennan,CS_AGENT,L-246,2024-06-14,
E533,Carmen Jensen,CS_AGENT,L-235,2021-09-27,
E534,Elena Petrov,PLANNER,L-220,2024-02-18,
E535,Ines Marek,SUPERVISOR,L-250,2022-11-06,
E536,Aisha Iqbal,PLANNER,L-225,2020-12-03,
E537,Quinn Dvorak,SUPERVISOR,L-225,2023-08-06,2026-05-23
E538,Femi Fuentes,PLANNER,L-235,2023-05-06,
E539,Tomas Jensen,CS_AGENT,L-231,2020-09-09,
E540,Lars Sorensen,LOADER,L-215,2018-11-11,
E541,Femi Brennan,LOADER,L-251,2024-03-24,
E542,Lars Adler,PLANNER,L-240,2025-01-06,
E543,Elena Novak,FITTER,L-216,2024-02-25,
E544,Tomas Sorensen,FITTER,L-255,2024-08-08,
E545,Dev Iqbal,SUPERVISOR,L-255,2025-04-11,
E546,Hamid Riva,LOADER,L-235,2019-06-01,
E547,Boris Dvorak,LOADER,L-235,2022-08-01,
E548,Omar Kovacs,CS_AGENT,L-225,2019-10-13,
E549,Carmen Iqbal,CS_AGENT,L-231,2018-11-04,
E550,Tomas Jensen,SUPERVISOR,L-246,2020-07-15,
E551,Omar Lindgren,SUPERVISOR,L-210,2023-01-28,
E552,Femi Riva,LOADER,L-230,2018-02-28,
E553,Hamid Adler,CS_AGENT,L-220,2020-11-23,
E554,Aisha Tanaka,SUPERVISOR,L-245,2020-07-28,
E555,Ines Sorensen,SUPERVISOR,L-256,2020-03-03,
E556,Quinn Gallo,SUPERVISOR,L-256,2025-06-15,
E557,Tomas Iqbal,LOADER,L-240,2021-05-21,
E558,Elena Marek,FITTER,L-236,2024-07-17,
E559,Priya Sorensen,LOADER,L-221,2018-02-15,2025-12-30
E560,Greta Gallo,CS_AGENT,L-206,2024-07-21,
E561,Ines Novak,LOADER,L-231,2021-05-17,
E562,Mei Costa,SUPERVISOR,L-260,2021-05-06,2025-11-10
E563,Boris Kovacs,SUPERVISOR,L-201,2024-12-07,
E564,Quinn Gallo,LOADER,L-220,2018-04-22,
E565,Greta Jensen,SUPERVISOR,L-256,2021-09-18,
E566,Jonas Dvorak,FITTER,L-210,2022-05-28,
E567,Mei Jensen,FITTER,L-205,2025-04-17,
E568,Elena Fuentes,CS_AGENT,L-206,2024-02-18,
E569,Mei Marek,SUPERVISOR,L-211,2022-03-07,
E570,Aisha Jensen,SUPERVISOR,L-236,2022-01-09,
E571,Femi Adler,CS_AGENT,L-226,2024-04-27,
E572,Elena Gallo,CS_AGENT,L-245,2025-01-09,
E573,Tomas Sorensen,SUPERVISOR,L-260,2018-06-12,2026-03-06
E574,Greta Kovacs,LOADER,L-231,2020-11-19,2026-02-19
E575,Femi Marek,FITTER,L-245,2024-11-22,
E576,Quinn Okafor,SUPERVISOR,L-216,2022-07-18,
E577,Katya Hansen,PLANNER,L-246,2018-10-19,
E578,Carmen Tanaka,LOADER,L-205,2023-07-08,
E579,Hamid Hansen,CS_AGENT,L-260,2022-12-30,
E580,Elena Quist,CS_AGENT,L-250,2025-03-21,
E581,Omar Sorensen,SUPERVISOR,L-241,2022-03-01,
E582,Hamid Iqbal,SUPERVISOR,L-250,2018-01-29,
E583,Omar Dvorak,FITTER,L-225,2020-07-03,
E584,Dev Petrov,FITTER,L-236,2021-09-15,
E585,Priya Brennan,SUPERVISOR,L-251,2019-11-12,
E586,Femi Petrov,CS_AGENT,L-206,2018-04-15,
E587,Dev Jensen,FITTER,L-215,2020-08-06,
E588,Jonas Lindgren,PLANNER,L-250,2024-10-25,
E589,Mei Marek,PLANNER,L-206,2024-12-23,2026-05-02
E590,Tomas Brennan,PLANNER,L-241,2019-06-12,
E591,Ines Petrov,FITTER,L-216,2021-10-30,
E592,Priya Eriksen,CS_AGENT,L-255,2022-03-26,
E593,Greta Kovacs,FITTER,L-235,2022-03-29,2026-03-06
E594,Aisha Brennan,SUPERVISOR,L-206,2023-06-04,
E595,Dev Kovacs,PLANNER,L-216,2019-03-23,
E596,Carmen Petrov,LOADER,L-235,2022-03-11,2025-12-03
E597,Hamid Eriksen,FITTER,L-206,2020-02-27,
E598,Nadia Gallo,PLANNER,L-210,2018-10-05,
E599,Katya Adler,SUPERVISOR,L-201,2021-10-02,
E600,Ines Okafor,PLANNER,L-206,2020-06-19,
E601,Stefan Quist,CS_AGENT,L-206,2020-10-28,2026-02-21
E602,Stefan Petrov,SUPERVISOR,L-205,2024-12-02,
E603,Rosa Costa,SUPERVISOR,L-220,2018-06-06,
E604,Carmen Okafor,SUPERVISOR,L-210,2023-07-06,
E605,Lars Dvorak,SUPERVISOR,L-260,2024-02-02,
E606,Katya Riva,FITTER,L-241,2025-09-23,
